가입일,음성사서함이용,주간통화시간,주간통화횟수,주간통화요금,저녁통화시간,저녁통화횟수,저녁통화요금,밤통화시간,밤통화횟수,밤통화요금,상담전화건수,가입기간년,가입기간월,가입기간주,가입월,총통화시간,총통화횟수,총통화요금,시간당요금,횟수당시간,cluster_no,전화해지여부
203,0,289.4,289,84.3,320.8,98,20.26,328.3,323,9.68,2,0,16.0,3.0,6.0,938.5,710,114.24000000000001,0.1217261587639851,1.3218309859154929,2,0
202,89,200.8,209,83.8,289.0,223,26.06,208.5,91,9.28,0,0,16.0,3.0,6.0,698.3,523,119.14,0.1706143491336102,1.3351816443594646,2,0
445,0,95.8,99,47.0,449.7,484,49.88,441.8,445,40.8,4,1,37.0,8.0,2.0,987.3,1028,137.68,0.1394510280563152,0.960408560311284,1,0
223,1,229.5,61,24.7,231.6,289,28.26,223.5,223,2.28,2,0,18.0,4.0,7.0,684.6,573,55.24,0.08068945369558866,1.1947643979057592,2,1
446,0,446.6,404,59.2,477.9,60,45.55,445.8,85,9.6,5,1,37.0,8.0,2.0,1370.3,549,114.35,0.08344887980734146,2.4959927140255007,1,1
22,1,222.8,282,23.7,228.4,223,9.9,283.0,93,6.88,0,0,1.0,0.0,0.0,734.2,598,40.480000000000004,0.055134840642876604,1.2277591973244149,2,0
94,0,222.5,209,23.5,227.5,203,22.92,240.4,33,3.33,2,0,7.0,1.0,3.0,690.4,445,49.75,0.07205967555040556,1.5514606741573034,0,0
33,1,328.6,320,89.1,322.8,322,20.26,324.0,99,9.98,0,0,2.0,0.0,1.0,975.4000000000001,741,119.34,0.12234980520811974,1.3163292847503376,2,0
98,46,444.8,404,47.4,444.7,85,48.04,476.8,459,7.88,5,0,8.0,1.0,3.0,1366.3,948,103.32,0.0756202883700505,1.4412447257383967,1,0
89,1,229.8,83,81.0,288.3,22,29.86,284.1,220,8.92,2,0,7.0,1.0,2.0,802.2,325,119.78,0.1493143854400399,2.4683076923076923,0,0
99,0,250.4,44,22.3,244.4,223,24.22,244.5,222,22.42,2,0,8.0,1.0,3.0,739.3,489,68.94,0.09325037197348844,1.5118609406952965,2,0
33,36,224.2,233,30.7,235.1,202,23.29,224.1,92,20.22,2,0,2.0,0.0,1.0,683.4,527,74.21,0.10858940591161838,1.296774193548387,2,0
323,0,289.7,97,29.6,323.4,99,20.86,100.1,29,2.8,2,0,26.0,6.0,10.0,713.1999999999999,225,53.26,0.07467750981491868,3.1697777777777776,0,0
89,0,229.6,27,83.6,271.4,61,22.89,223.4,100,6.88,2,0,7.0,1.0,2.0,724.4,188,113.36999999999999,0.1565019326339039,3.853191489361702,0,0
220,1,240.5,44,25.9,230.7,225,20.22,243.4,224,20.24,2,0,18.0,4.0,7.0,714.6,493,66.36,0.09286314021830394,1.4494929006085193,2,0
184,12,201.5,77,35.4,253.7,106,21.56,149.7,94,6.72,0,0,15.0,3.0,6.0,604.9,277,63.67999999999999,0.10527359894197387,2.183754512635379,0,0
229,0,282.9,89,83.8,202.9,83,22.22,263.3,29,22.89,2,0,19.0,4.0,7.0,749.0999999999999,201,128.91,0.1720865038045655,3.7268656716417907,0,0
241,1,244.4,222,25.3,210.8,43,22.4,232.5,25,2.24,2,0,20.0,4.0,8.0,687.7,290,49.940000000000005,0.07261887450923368,2.3713793103448277,0,0
457,1,450.5,91,60.7,448.6,444,44.57,445.0,409,40.86,5,1,38.0,8.0,3.0,1344.1,944,146.13,0.10871958931627111,1.4238347457627119,1,0
448,0,440.5,448,50.0,469.8,89,44.84,467.9,94,4.8,4,1,37.0,8.0,2.0,1378.1999999999998,631,99.64,0.07229719924539255,2.1841521394611725,1,0
233,45,220.9,223,21.3,203.2,202,22.24,203.3,222,9.22,0,0,19.0,4.0,7.0,627.4000000000001,647,52.76,0.08409308256295822,0.969706336939722,2,0
43,0,234.9,45,25.3,229.8,22,29.42,242.5,99,22.44,4,0,3.0,0.0,1.0,707.2,166,77.16,0.10910633484162895,4.260240963855422,0,1
203,1,224.3,33,23.8,243.6,45,22.43,294.6,224,4.39,0,0,16.0,3.0,6.0,762.5,302,50.620000000000005,0.06638688524590164,2.524834437086093,0,0
26,0,91.6,204,24.5,227.5,23,23.23,227.1,223,6.39,2,0,2.0,0.0,0.0,546.2,450,54.120000000000005,0.0990845844013182,1.2137777777777778,0,0
220,1,245.0,209,24.7,204.8,99,22.22,234.8,229,2.24,2,0,18.0,4.0,7.0,684.6,537,49.160000000000004,0.07180835524393807,1.2748603351955308,2,0
93,0,270.1,82,28.9,270.6,86,32.2,293.4,89,8.62,8,0,7.0,1.0,3.0,834.1,257,69.72,0.08358709986812132,3.245525291828794,0,0
329,0,292.8,328,83.7,323.1,322,20.82,327.8,208,6.88,2,0,27.0,6.0,10.0,943.7,858,111.4,0.11804598919148035,1.09988344988345,1,0
328,0,270.4,29,34.6,289.2,89,32.28,294.1,98,8.68,0,0,27.0,6.0,10.0,853.6999999999999,216,75.56,0.08850884385615557,3.9523148148148146,0,0
75,1,227.0,105,40.1,203.1,108,17.13,246.3,99,11.08,1,0,6.0,1.0,2.0,676.4000000000001,312,68.31,0.10099053814311057,2.1679487179487182,0,0
63,0,282.8,283,29.0,283.1,203,32.28,289.1,203,8.82,2,0,5.0,1.0,2.0,855.0000000000001,689,70.1,0.08198830409356724,1.2409288824383167,2,0
223,1,224.3,23,22.5,234.1,92,23.23,240.8,92,22.66,2,0,18.0,4.0,7.0,699.2,207,68.39,0.09781178489702516,3.377777777777778,0,0
286,22,222.8,27,31.5,228.6,222,28.02,222.3,92,9.68,2,0,23.0,5.0,9.0,673.7,341,69.19999999999999,0.10271634258572063,1.975659824046921,0,0
43,43,243.4,222,49.8,244.6,224,24.02,244.1,23,22.9,4,0,3.0,0.0,1.0,732.1,469,96.72,0.13211309930337384,1.5609808102345417,2,0
321,1,300.7,30,30.3,290.8,91,26.02,267.5,92,32.02,0,0,26.0,6.0,10.0,859.0,213,88.34,0.10284051222351571,4.032863849765258,0,1
220,0,283.3,203,90.4,260.6,93,28.62,221.6,99,2.92,8,0,18.0,4.0,7.0,765.5000000000001,395,121.94000000000001,0.1592945787067276,1.9379746835443041,0,0
203,88,329.7,93,83.3,282.5,28,28.82,204.0,93,2.68,2,0,16.0,3.0,6.0,816.2,214,114.80000000000001,0.14065180102915953,3.8140186915887853,0,0
201,1,202.0,34,24.6,205.8,33,4.94,224.3,22,20.92,2,0,16.0,3.0,6.0,632.1,89,50.46000000000001,0.07982914095870908,7.102247191011236,0,1
29,0,205.0,232,22.9,330.0,222,22.22,240.2,222,20.3,2,0,2.0,0.0,0.0,775.2,676,65.42,0.08439112487100103,1.1467455621301776,2,0
202,0,243.3,222,50.3,244.4,224,24.42,245.5,222,3.9,4,0,16.0,3.0,6.0,733.2,668,78.62,0.10722858701582105,1.0976047904191617,2,0
72,40,94.6,99,16.9,273.1,115,23.05,168.1,84,7.52,1,0,6.0,1.0,2.0,535.8000000000001,298,47.47,0.08859649122807016,1.7979865771812082,0,0
286,1,224.0,69,29.8,292.8,226,26.28,289.8,87,20.28,0,0,23.0,5.0,9.0,806.5999999999999,382,76.36,0.09466898090751302,2.1115183246073297,0,0
61,0,289.6,282,28.7,209.5,88,22.8,202.4,209,9.28,2,0,5.0,1.0,2.0,701.5,579,60.78,0.08664290805416963,1.2115716753022452,2,0
100,0,183.8,84,31.4,155.0,111,13.13,196.9,58,8.82,0,0,8.0,1.0,3.0,535.7,253,53.35,0.09958932238193018,2.117391304347826,0,0
82,0,299.9,22,82.8,64.4,89,8.26,297.5,90,8.86,2,0,6.0,1.0,2.0,661.8,201,99.92,0.1509821698398308,3.2925373134328355,0,0
223,37,22.7,223,24.5,202.4,60,22.6,234.5,223,22.32,2,0,18.0,4.0,7.0,459.6,506,69.42,0.1510443864229765,0.9083003952569171,0,0
100,44,446.3,445,58.0,456.1,404,49.75,445.6,400,9.7,4,0,8.0,1.0,3.0,1348.0,1249,117.45,0.08712908011869436,1.0792634107285828,1,1
96,32,323.2,98,32.2,287.3,280,32.29,289.9,32,2.32,2,0,8.0,1.0,3.0,900.4,410,66.81,0.07420035539760107,2.1960975609756095,2,0
455,51,65.9,405,41.5,457.2,441,44.68,446.9,96,40.47,4,1,37.0,8.0,3.0,970.0,942,126.65,0.13056701030927836,1.029723991507431,1,0
135,25,128.3,55,22.4,215.2,105,18.28,235.6,84,10.54,2,0,11.0,2.0,4.0,579.1,244,51.22,0.08844759108962182,2.373360655737705,0,0
450,1,460.0,74,46.2,447.3,444,40.94,407.6,444,9.54,5,1,37.0,8.0,3.0,1314.9,962,96.68,0.07352650391664765,1.366839916839917,1,0
290,1,264.0,222,22.7,293.4,282,26.2,269.6,96,2.82,0,0,24.0,5.0,9.0,827.0,600,51.72,0.06253929866989118,1.3783333333333334,2,0
84,0,87.2,84,16.2,261.4,87,22.16,98.8,110,4.44,1,0,7.0,1.0,2.0,447.4,281,42.8,0.09566383549396514,1.592170818505338,0,0
224,1,245.0,224,24.2,232.4,42,22.24,225.4,99,20.24,2,0,18.0,4.0,7.0,702.8,365,66.67999999999999,0.09487763232783153,1.9254794520547944,0,0
32,39,225.5,23,23.8,220.6,223,22.33,231.1,222,3.32,2,0,2.0,0.0,1.0,677.2,468,49.449999999999996,0.07302126402835203,1.4470085470085472,0,0
92,22,243.8,94,25.7,224.2,25,24.42,233.7,222,2.42,2,0,7.0,1.0,3.0,701.7,341,52.540000000000006,0.0748753028359698,2.0577712609970678,0,0
322,1,323.0,90,33.9,283.5,81,29.9,323.4,203,9.82,8,0,26.0,6.0,10.0,929.9,374,73.62,0.07916980320464567,2.4863636363636363,0,0
229,0,289.5,68,90.3,210.4,98,22.88,222.2,209,9.28,2,0,19.0,4.0,7.0,722.0999999999999,375,122.46,0.16958869962609058,1.9255999999999998,0,0
224,0,223.9,202,21.5,290.5,223,26.23,221.5,94,2.66,2,0,18.0,4.0,7.0,735.9,519,50.39,0.0684739774425873,1.4179190751445085,2,1
223,22,223.6,222,88.8,226.6,207,22.22,222.6,98,20.86,2,0,18.0,4.0,7.0,672.8,527,131.88,0.1960166468489893,1.2766603415559772,2,0
32,23,227.2,93,30.3,295.0,23,26.33,224.6,227,9.62,0,0,2.0,0.0,1.0,746.8000000000001,343,66.25,0.08871183717193358,2.177259475218659,0,0
23,0,223.9,32,35.5,264.1,93,22.03,264.0,22,22.92,2,0,1.0,0.0,0.0,752.0,147,80.45,0.10698138297872341,5.115646258503402,0,0
223,23,220.8,49,25.0,224.5,223,24.99,244.8,25,22.32,2,0,18.0,4.0,7.0,690.1,297,72.31,0.10478191566439646,2.3235690235690236,0,0
26,0,324.1,89,30.7,281.8,323,28.82,322.2,80,2.28,8,0,2.0,0.0,0.0,928.1000000000001,492,61.8,0.06658765219265164,1.8863821138211385,2,0
32,0,224.1,232,22.4,301.5,223,23.32,292.8,207,3.66,2,0,2.0,0.0,1.0,818.4000000000001,662,49.379999999999995,0.06033724340175952,1.2362537764350454,2,0
445,46,472.5,408,50.8,448.8,78,48.46,447.7,75,40.46,6,1,37.0,8.0,2.0,1369.0,561,139.72,0.1020598977355734,2.4402852049910875,1,0
209,0,289.5,322,30.1,323.1,322,32.68,283.0,93,20.32,2,0,17.0,4.0,6.0,895.6,737,83.1,0.09278695846359981,1.2151967435549524,2,0
223,22,237.2,93,32.9,221.5,234,20.2,202.5,62,9.02,2,0,18.0,4.0,7.0,661.2,389,62.11999999999999,0.09395039322444039,1.6997429305912597,0,0
93,0,283.2,227,23.3,299.4,98,28.2,299.1,223,8.8,2,0,7.0,1.0,3.0,881.6999999999999,548,60.3,0.06839060905069752,1.608941605839416,2,0
81,1,229.8,87,31.2,289.9,93,28.22,284.1,228,20.68,2,0,6.0,1.0,2.0,803.8000000000001,408,80.1,0.0996516546404578,1.9700980392156864,0,0
47,1,470.9,45,50.2,445.6,85,40.84,451.3,95,9.84,0,0,3.0,0.0,1.0,1367.8,225,100.88000000000001,0.07375347272993128,6.079111111111111,1,0
263,1,290.0,98,33.9,322.6,202,20.82,328.6,96,32.32,2,0,21.0,5.0,8.0,941.2,396,87.03999999999999,0.09247768805779855,2.376767676767677,2,0
176,1,202.2,101,34.4,156.4,79,13.15,165.8,80,7.4,1,0,14.0,3.0,5.0,524.4000000000001,260,54.949999999999996,0.10478642257818456,2.0169230769230775,0,0
207,0,224.4,220,88.0,283.2,70,28.9,228.6,23,8.26,8,0,17.0,3.0,6.0,736.2,313,125.16000000000001,0.1700081499592502,2.352076677316294,0,0
222,1,230.9,98,29.0,287.5,220,22.22,223.6,93,9.82,2,0,18.0,4.0,7.0,742.0,411,61.04,0.08226415094339623,1.805352798053528,0,0
92,33,326.2,210,30.3,289.5,83,28.88,270.3,92,32.32,0,0,7.0,1.0,3.0,886.0,385,91.5,0.10327313769751693,2.3012987012987014,0,0
329,89,320.7,29,84.3,284.3,32,29.92,283.7,88,20.68,2,0,27.0,6.0,10.0,888.7,149,134.9,0.15179475638573198,5.964429530201342,0,0
37,1,241.5,120,41.4,263.4,89,22.24,207.8,88,9.32,2,0,3.0,0.0,1.0,712.7,297,72.96000000000001,0.10237126420653853,2.3996632996633,0,1
82,1,299.3,81,90.1,283.1,90,28.9,289.2,96,6.02,2,0,6.0,1.0,2.0,871.6000000000001,267,125.02,0.1434373565855897,3.2644194756554312,0,0
29,1,161.1,79,27.5,218.5,132,18.42,208.7,117,9.3,2,0,2.0,0.0,0.0,588.3,328,55.22,0.09386367499575048,1.7935975609756096,0,0
24,1,223.5,24,20.9,224.7,222,20.39,233.6,223,22.22,3,0,2.0,0.0,0.0,681.8,469,63.51,0.09315048401290701,1.453731343283582,2,1
282,1,288.5,322,30.6,326.8,323,20.98,329.3,201,2.29,0,0,23.0,5.0,9.0,944.5999999999999,846,53.87,0.05702943044674995,1.116548463356974,2,1
151,0,119.5,128,21.2,279.7,65,23.66,196.2,61,8.77,2,0,12.0,2.0,5.0,595.4,254,53.629999999999995,0.0900738998992274,2.3440944881889765,0,0
85,84,442.2,400,89.3,450.1,94,49.44,470.2,440,4.89,0,0,7.0,1.0,2.0,1362.5,934,143.63,0.10541651376146789,1.458779443254818,1,0
100,0,192.7,110,34.2,164.0,103,13.93,243.6,115,10.96,1,0,8.0,1.0,3.0,600.3,328,59.09,0.09843411627519574,1.8301829268292682,0,0
227,0,270.6,283,29.7,224.8,83,9.6,87.5,100,2.88,0,0,18.0,4.0,7.0,582.9000000000001,466,42.18,0.07236232629953679,1.2508583690987127,0,0
282,89,223.7,201,80.9,292.0,89,26.29,289.2,223,22.2,2,0,23.0,5.0,9.0,804.9000000000001,513,129.39,0.16075288855758477,1.5690058479532165,2,0
62,1,92.5,81,27.2,287.0,90,28.88,289.2,92,8.8,2,0,5.0,1.0,2.0,668.7,263,64.88,0.09702407656647224,2.5425855513307987,0,0
65,1,400.2,99,45.6,449.3,99,44.48,449.9,444,9.84,0,0,5.0,1.0,2.0,1299.4,642,99.92,0.07689702939818377,2.02398753894081,1,0
85,0,216.1,73,37.2,188.6,118,16.0,147.6,98,6.62,2,0,7.0,1.0,2.0,552.3,289,59.82,0.10831070070613798,1.9110726643598615,0,0
288,88,289.1,289,28.9,268.9,29,22.82,287.6,22,8.89,8,0,24.0,5.0,9.0,845.6,340,60.61,0.07167691579943235,2.487058823529412,0,0
117,1,289.8,120,49.9,257.3,90,21.74,234.3,100,10.5,0,0,9.0,2.0,3.0,781.4000000000001,310,82.14,0.10511901714870743,2.520645161290323,0,1
100,1,224.8,43,23.0,206.7,204,22.44,244.3,242,22.22,2,0,8.0,1.0,3.0,675.8,489,67.66,0.10011837821840781,1.38200408997955,2,0
62,0,202.4,203,83.6,93.3,323,8.8,203.3,329,9.32,0,0,5.0,1.0,2.0,499.0,855,101.72,0.20384769539078157,0.583625730994152,2,0
29,23,222.6,209,30.3,223.5,93,29.2,223.3,222,2.82,2,0,2.0,0.0,0.0,669.4000000000001,524,62.32,0.09309829698237226,1.2774809160305345,2,0
63,0,293.7,62,89.9,264.1,206,22.28,222.1,226,9.22,2,0,5.0,1.0,2.0,779.9,494,121.4,0.15566098217720223,1.578744939271255,2,0
95,43,243.9,45,21.6,225.5,201,24.22,292.2,43,4.32,2,0,7.0,1.0,3.0,761.5999999999999,289,50.14,0.06583508403361345,2.6352941176470583,0,0
230,0,227.3,88,87.6,287.8,223,28.89,222.0,209,9.28,2,0,19.0,4.0,7.0,737.1,520,125.77,0.17062813729480394,1.4175,2,0
114,26,138.9,89,23.6,155.9,125,13.23,248.6,95,11.14,2,0,9.0,2.0,3.0,543.4,309,47.97,0.0882775119617225,1.7585760517799351,0,0
23,0,233.6,33,33.5,233.3,230,29.26,293.6,32,3.6,3,0,1.0,0.0,0.0,760.5,295,66.36,0.08725838264299803,2.577966101694915,0,0
82,0,298.8,89,31.7,323.5,32,28.26,328.4,26,8.02,2,0,6.0,1.0,2.0,950.6999999999999,147,67.98,0.07150520668980752,6.46734693877551,0,1
222,1,226.4,63,31.2,202.0,223,22.09,231.9,234,6.22,0,0,18.0,4.0,7.0,660.3,520,59.51,0.09012570043919431,1.2698076923076922,2,0
92,0,226.2,222,23.9,204.9,223,22.26,232.4,221,6.33,2,0,7.0,1.0,3.0,663.5,666,52.489999999999995,0.07911077618688771,0.9962462462462462,2,0
204,1,296.0,223,44.5,24.1,90,4.32,230.5,223,4.03,0,0,17.0,3.0,6.0,550.6,536,52.85,0.09598619687613512,1.0272388059701494,2,0
89,20,98.8,90,27.2,263.7,92,22.22,202.0,30,9.08,0,0,7.0,1.0,2.0,564.5,212,58.5,0.10363153232949512,2.6627358490566038,0,0
226,1,229.2,23,30.4,228.8,200,28.26,228.8,23,9.88,2,0,18.0,4.0,7.0,686.8,246,68.53999999999999,0.09979615608619685,2.7918699186991867,0,0
223,0,222.9,202,23.0,227.1,80,29.22,282.5,96,22.82,2,0,18.0,4.0,7.0,732.5,378,75.03999999999999,0.10244368600682592,1.937830687830688,0,0
209,20,287.4,323,20.8,323.9,321,9.98,322.6,328,9.98,2,0,17.0,4.0,6.0,933.9,972,40.760000000000005,0.04364492986401114,0.9608024691358025,1,0
93,30,246.0,220,24.4,245.1,203,23.02,244.5,224,22.22,4,0,7.0,1.0,3.0,735.6,647,69.64,0.09467101685698749,1.1369397217928903,2,0
283,1,284.8,208,22.8,227.2,82,28.02,268.2,83,22.88,0,0,23.0,5.0,9.0,780.2,373,73.7,0.0944629582158421,2.0916890080428954,0,1
201,0,231.1,244,24.0,222.8,92,24.42,241.2,220,3.22,0,0,16.0,3.0,6.0,695.0999999999999,556,51.64,0.0742914688534024,1.2501798561151078,2,0
118,1,151.4,95,26.8,258.0,110,21.77,214.4,93,9.57,2,0,9.0,2.0,3.0,623.8,298,58.14,0.09320294966335364,2.093288590604027,0,0
22,1,244.6,223,43.9,294.9,220,23.44,203.7,40,9.29,2,0,1.0,0.0,0.0,743.2,483,76.63,0.10310818083961247,1.5387163561076604,2,0
209,0,283.5,97,90.3,289.6,322,32.82,282.4,203,6.98,2,0,17.0,4.0,6.0,855.5,622,130.1,0.15207481005260082,1.3754019292604502,2,0
226,0,208.2,91,84.6,221.7,222,22.98,224.2,96,22.22,2,0,18.0,4.0,7.0,654.0999999999999,409,129.8,0.19844060541201655,1.5992665036674814,0,0
67,0,480.1,445,51.0,475.6,86,44.74,476.4,97,44.48,0,0,5.0,1.0,2.0,1432.1,628,140.22,0.09791215697227848,2.2804140127388535,1,0
113,1,159.4,137,27.8,244.7,109,20.64,249.2,98,11.15,0,0,9.0,2.0,3.0,653.3,344,59.589999999999996,0.09121383744068574,1.8991279069767442,0,0
222,0,241.1,45,42.3,225.5,22,22.44,244.3,220,20.42,2,0,18.0,4.0,7.0,710.9000000000001,287,85.16,0.11979181319454212,2.4770034843205577,0,0
93,82,330.4,97,31.6,264.0,323,32.8,329.4,27,6.28,2,0,7.0,1.0,3.0,923.8,447,70.68,0.07651006711409397,2.0666666666666664,2,0
33,1,329.0,208,33.6,203.8,96,32.68,203.5,329,9.88,2,0,2.0,0.0,1.0,736.3,633,76.16,0.10343609941599892,1.1631911532385466,2,1
73,1,214.8,146,36.5,269.3,135,22.82,241.3,92,10.85,1,0,6.0,1.0,2.0,725.4000000000001,373,70.17,0.09673283705541769,1.9447721179624666,0,0
222,88,69.8,99,24.6,210.5,69,22.28,293.7,23,8.88,2,0,18.0,4.0,7.0,574.0,191,55.760000000000005,0.09714285714285716,3.005235602094241,0,0
26,1,232.6,210,40.0,226.8,229,23.2,292.9,93,3.62,3,0,2.0,0.0,0.0,752.3,532,66.82000000000001,0.088820949089459,1.4140977443609022,2,0
451,1,479.6,405,51.8,470.7,441,44.57,450.3,401,6.69,4,1,37.0,8.0,3.0,1400.6,1247,103.06,0.07358275024989291,1.1231756214915798,1,1
222,1,45.1,23,22.7,291.3,202,23.2,240.8,30,3.22,2,0,18.0,4.0,7.0,577.2,255,49.12,0.0851004851004851,2.263529411764706,0,0
203,1,243.2,225,51.4,300.6,100,23.94,235.2,45,2.42,2,0,16.0,3.0,6.0,779.0,370,77.76,0.09982028241335046,2.1054054054054054,0,0
202,0,228.8,93,24.8,222.9,223,9.22,223.3,93,8.28,8,0,16.0,3.0,6.0,675.0,409,42.300000000000004,0.06266666666666668,1.6503667481662592,0,0
29,0,287.6,223,20.6,269.2,202,22.88,282.6,23,6.86,2,0,2.0,0.0,0.0,839.4,448,50.34,0.05997140814867763,1.8736607142857142,2,1
69,1,289.8,322,27.0,320.8,323,28.32,281.0,322,32.62,2,0,5.0,1.0,2.0,891.6,967,87.94,0.09863167339614176,0.9220268872802482,2,0
20,0,209.3,202,25.5,222.6,203,20.4,225.5,224,22.23,0,0,1.0,0.0,0.0,657.4,629,68.13,0.10363553392150897,1.0451510333863274,2,0
117,111,222.4,119,24.3,222.7,226,22.611,293.7,223,11.26,2,0,9.0,2.0,3.0,738.8,568,58.171,0.07873714131023281,1.3007042253521126,2,0
149,0,196.7,109,34.7,137.5,96,11.63,156.7,88,6.96,2,0,12.0,2.0,4.0,490.9,293,53.290000000000006,0.10855571399470362,1.6754266211604094,0,0
22,23,203.5,95,45.3,242.8,220,22.32,225.9,23,4.22,2,0,1.0,0.0,0.0,672.2,338,71.84,0.10687295447783397,1.9887573964497043,0,0
92,1,264.3,236,24.1,224.7,222,22.22,233.5,32,22.2,2,0,7.0,1.0,3.0,722.5,490,68.52,0.09483737024221453,1.4744897959183674,2,0
222,22,234.2,221,31.6,224.6,224,29.39,263.7,222,22.32,2,0,18.0,4.0,7.0,722.5,667,83.31,0.11530795847750866,1.083208395802099,2,0
203,0,293.6,223,34.9,23.2,91,3.62,230.3,223,3.06,0,0,16.0,3.0,6.0,547.1,537,41.58,0.07600073112776456,1.018808193668529,2,0
92,1,233.5,223,27.3,223.3,222,22.99,223.0,27,2.22,2,0,7.0,1.0,3.0,679.8,472,52.51,0.07724330685495734,1.4402542372881355,2,1
83,0,281.5,88,81.3,283.7,202,22.28,221.7,93,2.68,2,0,6.0,1.0,2.0,786.9000000000001,383,106.26,0.13503621807091115,2.0545691906005223,0,0
449,46,454.8,400,45.1,477.1,445,44.75,405.7,409,9.46,4,1,37.0,8.0,2.0,1337.6000000000001,1254,99.31,0.07424491626794258,1.0666666666666669,1,0
23,0,229.4,223,23.0,60.0,90,8.2,290.4,229,8.8,0,0,1.0,0.0,0.0,579.8,542,40.0,0.0689893066574681,1.069741697416974,2,0
89,90,223.8,20,87.1,223.9,26,28.82,221.4,290,9.22,2,0,7.0,1.0,2.0,669.1,336,125.13999999999999,0.18702735017187264,1.9913690476190478,0,0
222,83,228.5,89,88.8,287.6,222,22.88,230.8,82,22.22,2,0,18.0,4.0,7.0,746.9000000000001,393,133.89999999999998,0.1792743339135091,1.9005089058524176,0,0
28,0,228.5,23,29.6,268.9,99,22.88,263.5,227,22.88,2,0,2.0,0.0,0.0,760.9,349,75.36,0.09904060980417927,2.1802292263610314,0,1
33,0,289.3,98,84.2,322.1,99,28.02,283.4,83,32.2,8,0,2.0,0.0,1.0,894.8000000000001,280,144.42000000000002,0.1613991953509164,3.195714285714286,0,0
89,1,229.4,228,20.9,283.3,96,29.2,223.8,228,20.0,2,0,7.0,1.0,2.0,736.5,552,70.1,0.09517990495587236,1.3342391304347827,2,0
222,0,297.2,100,31.7,222.8,40,23.26,234.9,202,6.03,2,0,18.0,4.0,7.0,754.9,342,60.99,0.08079215790170884,2.2073099415204678,0,1
232,1,226.7,90,31.5,224.8,207,22.32,233.4,232,20.36,2,0,19.0,4.0,7.0,684.9,529,74.18,0.10830778215797927,1.2947069943289224,2,0
323,28,289.4,322,20.6,288.1,329,20.28,322.3,323,20.88,2,0,26.0,6.0,10.0,899.8,974,61.760000000000005,0.06863747499444321,0.9238193018480493,1,0
29,1,230.1,280,31.0,229.1,209,22.09,223.8,89,8.82,0,0,2.0,0.0,0.0,683.0,578,61.910000000000004,0.09064421669106881,1.1816608996539792,2,0
481,1,460.4,97,47.3,445.7,65,49.44,472.0,449,7.69,4,1,40.0,9.0,4.0,1378.1,611,104.42999999999999,0.07577824541034758,2.255482815057283,1,0
87,1,320.9,80,90.1,326.7,97,28.02,330.3,86,6.32,2,0,7.0,1.0,2.0,977.8999999999999,263,124.44,0.12725227528377137,3.718250950570342,0,0
93,1,229.6,89,24.2,229.8,203,22.92,229.0,283,20.02,2,0,7.0,1.0,3.0,688.4,575,67.14,0.0975305055200465,1.1972173913043478,2,1
286,26,24.7,203,24.4,224.0,227,28.02,297.1,91,28.88,2,0,23.0,5.0,9.0,545.8,521,81.3,0.14895566141443753,1.0476007677543184,2,0
25,1,221.6,94,42.3,231.8,222,24.29,245.0,210,4.22,0,0,2.0,0.0,0.0,698.4,526,70.81,0.10138888888888889,1.3277566539923953,2,0
222,0,235.6,224,25.2,225.0,99,20.44,234.1,205,22.94,2,0,18.0,4.0,7.0,694.7,528,68.58,0.09871887145530443,1.3157196969696972,2,0
286,33,324.4,26,30.1,326.9,323,28.02,324.0,93,9.68,2,0,23.0,5.0,9.0,975.3,442,67.80000000000001,0.06951707167025532,2.2065610859728504,2,0
89,1,290.4,63,27.5,281.6,96,22.08,231.5,81,20.82,2,0,7.0,1.0,2.0,803.5,240,70.4,0.08761667703795893,3.347916666666667,0,0
204,25,234.7,45,24.8,233.9,95,22.2,241.4,222,22.24,2,0,17.0,3.0,6.0,710.0,362,69.24,0.09752112676056338,1.9613259668508287,0,0
23,24,210.8,23,33.9,234.0,63,23.62,203.6,223,9.23,2,0,1.0,0.0,0.0,648.4,309,66.75,0.10294571252313388,2.0983818770226534,0,0
222,0,242.7,203,24.3,234.2,222,22.23,245.8,203,4.4,4,0,18.0,4.0,7.0,722.7,628,50.93,0.07047184170471842,1.150796178343949,2,0
99,29,261.5,82,24.2,203.1,203,22.2,292.4,223,8.6,0,0,8.0,1.0,3.0,757.0,508,55.0,0.0726552179656539,1.4901574803149606,2,0
89,28,289.4,322,30.7,208.8,32,32.29,329.3,322,20.28,2,0,7.0,1.0,2.0,827.5,676,83.27,0.10062839879154079,1.224112426035503,2,0
43,1,225.6,32,23.5,293.3,205,23.42,210.8,92,2.94,2,0,3.0,0.0,1.0,729.7,329,49.86,0.06832945045909278,2.2179331306990884,0,0
25,23,92.5,203,25.7,242.1,230,22.4,35.6,204,2.44,2,0,2.0,0.0,0.0,370.20000000000005,637,50.53999999999999,0.13652079956780114,0.5811616954474098,2,0
33,25,243.6,203,23.8,244.0,40,24.93,251.1,242,22.34,2,0,2.0,0.0,1.0,738.7,485,71.07000000000001,0.09620955733044538,1.5230927835051546,2,0
229,1,229.4,93,81.9,221.6,93,22.98,293.4,89,8.89,0,0,19.0,4.0,7.0,744.4,275,113.77000000000001,0.1528344975819452,2.706909090909091,0,0
